provider_sk,provider_id,speciality,npi_number
94,PROV0069,Oncology,1579998105
95,PROV0404,General Practice,4982729013
96,PROV0094,General Practice,1657757944
97,PROV0066,General Practice,7425312415
98,PROV0267,General Practice,5232749942
99,PROV0071,Internal Medicine,1817067708
100,PROV0054,Oncology,1910597099
101,PROV0102,Cardiology,7119825520
102,PROV0061,Orthopedics,9934827204
103,PROV0396,Internal Medicine,8392765077
104,PROV0254,Pediatrics,4806022423
105,PROV0357,Neurology,4706134890
106,PROV0015,Radiology,5529768775
107,PROV0175,General Practice,7227867377
108,PROV0378,Pediatrics,7636850545
109,PROV0242,Internal Medicine,9422185608
110,PROV0015,Orthopedics,6551333484
111,PROV0324,Internal Medicine,4392135779
112,PROV0128,Surgery,2102092457
113,PROV0074,Orthopedics,1177679005
114,PROV0062,Cardiology,8674604904
115,PROV0206,General Practice,9220224975
116,PROV0243,Dermatology,9126937855
117,PROV0194,Internal Medicine,1439431996
118,PROV0334,Internal Medicine,3102748571
119,PROV0243,General Practice,6649389200
120,PROV0422,Neurology,3297693745
121,PROV0030,General Practice,8870781560
122,PROV0073,Dermatology,9115787508
123,PROV0019,Internal Medicine,1786029291
124,PROV0309,Cardiology,1743031817
125,PROV0439,Dermatology,1052939064
126,PROV0457,General Practice,8268799476
127,PROV0247,Radiology,6845474426
128,PROV0335,Internal Medicine,6632615994
129,PROV0485,General Practice,7859854776
130,PROV0027,Pediatrics,3167321929
131,PROV0498,Internal Medicine,8684914576
132,PROV0059,General Practice,6761631533
133,PROV0224,Neurology,9333749364
134,PROV0483,Radiology,9531372934
135,PROV0096,Neurology,4831635520
136,PROV0045,General Practice,5184416556
137,PROV0153,General Practice,7263879374
138,PROV0067,Internal Medicine,2412322693
139,PROV0371,Radiology,5315869648
140,PROV0219,Dermatology,1740356543
141,PROV0078,Pediatrics,6726536180
142,PROV0312,Internal Medicine,6569922830
143,PROV0401,Cardiology,4494655498
144,PROV0437,General Practice,8981127612
145,PROV0463,Radiology,9485964218
146,PROV0277,Pediatrics,3085607399
147,PROV0152,Internal Medicine,5550069592
148,PROV0142,Surgery,9092447138
149,PROV0382,General Practice,1378966178
150,PROV0014,General Practice,7028010959
151,PROV0366,Orthopedics,9505935709
152,PROV0006,Radiology,6655889666
153,PROV0296,Oncology,2645398941
154,PROV0301,General Practice,8090439791
155,PROV0477,General Practice,6668145886
156,PROV0461,Neurology,1371951106
157,PROV0363,General Practice,4106755850
158,PROV0339,General Practice,3724049065
159,PROV0024,General Practice,9077366333
160,PROV0232,Cardiology,3690133125
161,PROV0456,Oncology,7817703036
162,PROV0221,General Practice,1244225403
163,PROV0008,General Practice,6568123804
164,PROV0244,General Practice,1551526396
165,PROV0206,Internal Medicine,6334690772
166,PROV0394,Cardiology,7096483276
167,PROV0216,Surgery,7437875607
168,PROV0497,Internal Medicine,2622964866
169,PROV0285,Pediatrics,1904469545
170,PROV0299,Dermatology,1488681587
171,PROV0317,Internal Medicine,6569912474
172,PROV0298,Internal Medicine,2924384188
173,PROV0002,Oncology,9841596842
174,PROV0224,General Practice,2491962191
175,PROV0010,Radiology,8616200541
176,PROV0177,Orthopedics,7098177507
177,PROV0127,General Practice,5465075369
178,PROV0342,Internal Medicine,8582300916
179,PROV0004,Oncology,9678585969
180,PROV0095,Internal Medicine,6544790271
181,PROV0302,Cardiology,9205110780
182,PROV0347,General Practice,5127621107
183,PROV0473,Dermatology,4250471097
184,PROV0048,Pediatrics,3539488812
185,PROV0265,Internal Medicine,9258263408
186,PROV0409,Internal Medicine,3405320636
187,PROV0366,Internal Medicine,7790502244
188,PROV0039,Pediatrics,3003769786
189,PROV0260,General Practice,8794887823
190,PROV0091,Neurology,5979680740
191,PROV0167,General Practice,7174815166
192,PROV0298,Internal Medicine,7119487271
193,PROV0368,Orthopedics,8880755710
194,PROV0103,Neurology,3843132940
195,PROV0184,General Practice,4188153100
196,PROV0224,Neurology,9797655642
197,PROV0270,Cardiology,7302920830
198,PROV0040,Dermatology,2993247764
199,PROV0286,Oncology,5182394346
200,PROV0145,Orthopedics,9972144753
201,PROV0128,Internal Medicine,4100805398
202,PROV0332,General Practice,2219724070
203,PROV0057,Orthopedics,6063349827
204,PROV0077,General Practice,6962428389
205,PROV0396,General Practice,4168933942
206,PROV0395,Internal Medicine,4720971089
207,PROV0280,General Practice,6406012003
208,PROV0105,Dermatology,7535137414
209,PROV0269,Orthopedics,1479116242
210,PROV0481,Oncology,4385158304
211,PROV0350,Internal Medicine,6837302329
212,PROV0106,General Practice,5505894919
213,PROV0174,Oncology,7202303408
214,PROV0375,Pediatrics,5189504804
215,PROV0372,Internal Medicine,7411783854
216,PROV0481,Internal Medicine,5363351729
217,PROV0153,General Practice,9209654587
218,PROV0210,General Practice,8232013697
219,PROV0136,Radiology,2604491174
220,PROV0424,Neurology,1547489051
221,PROV0156,Internal Medicine,9196586596
222,PROV0381,Pediatrics,5113457544
223,PROV0117,Neurology,1232810101
224,PROV0112,General Practice,7038188603
225,PROV0378,Pediatrics,5822883604
226,PROV0325,Pediatrics,8098179037
227,PROV0199,Surgery,1344139732
228,PROV0431,Cardiology,1125799192
229,PROV0467,Oncology,2594227800
230,PROV0488,Pediatrics,9688580110
231,PROV0364,Radiology,8479098679
232,PROV0181,Pediatrics,6186960337
233,PROV0392,Internal Medicine,9859597580
234,PROV0007,Oncology,9290102769
235,PROV0029,Orthopedics,5266751300
236,PROV0013,Radiology,7228191598
237,PROV0152,Internal Medicine,4811618295
238,PROV0170,Internal Medicine,7240610330
239,PROV0271,Internal Medicine,1695420964
240,PROV0095,Radiology,4933615564
241,PROV0067,Internal Medicine,4339143044
242,PROV0022,Internal Medicine,8417851773
243,PROV0366,Radiology,1001445545
244,PROV0167,Internal Medicine,3809851743
245,PROV0241,General Practice,8961122512
246,PROV0184,Internal Medicine,3539061000
247,PROV0115,General Practice,9291683122
248,PROV0475,General Practice,2826671967
249,PROV0202,General Practice,8091337029
250,PROV0052,General Practice,6622378102
251,PROV0289,Neurology,9783406062
252,PROV0487,Internal Medicine,2577796581
253,PROV0220,Cardiology,4488615264
254,PROV0475,Internal Medicine,8112441855
255,PROV0094,Surgery,2254409057
256,PROV0061,Dermatology,2731786126
257,PROV0081,Internal Medicine,7054413076
258,PROV0027,Orthopedics,5082852857
259,PROV0440,General Practice,3635609458
260,PROV0404,Orthopedics,4255528632
261,PROV0390,General Practice,2346606586
262,PROV0316,General Practice,3938955082
263,PROV0369,Orthopedics,3501101649
264,PROV0179,Internal Medicine,8831804480
265,PROV0385,Cardiology,1383356620
266,PROV0377,Surgery,5172516844
267,PROV0433,Internal Medicine,9069756381
268,PROV0299,Internal Medicine,2712317792
269,PROV0025,Pediatrics,2170216819
270,PROV0305,Surgery,3123481006
271,PROV0386,Cardiology,1164093553
272,PROV0448,Cardiology,4796342686
273,PROV0230,Orthopedics,7513742846
274,PROV0100,Dermatology,5507461687
275,PROV0361,Surgery,5055497836
276,PROV0414,Neurology,8984601755
277,PROV0094,Internal Medicine,4884586317
278,PROV0328,Internal Medicine,7099858853
279,PROV0177,Internal Medicine,5932716922
280,PROV0097,Internal Medicine,1205719219
281,PROV0325,Orthopedics,6479469012
282,PROV0127,Cardiology,9977357745
283,PROV0391,Neurology,9576536425
284,PROV0362,Internal Medicine,4131823748
285,PROV0249,Dermatology,3012791594
286,PROV0269,General Practice,1177825786
287,PROV0130,General Practice,5391128541
288,PROV0170,Surgery,1775254368
289,PROV0344,Internal Medicine,4529008327
290,PROV0419,General Practice,2943850263
291,PROV0320,Radiology,8494078376
292,PROV0473,General Practice,5518644487
293,PROV0068,Internal Medicine,4189326102
294,PROV0348,Internal Medicine,6605374471
295,PROV0141,Internal Medicine,5151521157
296,PROV0446,Neurology,9485849961
297,PROV0242,General Practice,1930994091
298,PROV0010,Internal Medicine,2825416794
299,PROV0005,Oncology,9602801268
300,PROV0399,Oncology,3430430903
301,PROV0281,Surgery,9809600635
302,PROV0483,General Practice,6659042424
303,PROV0272,Internal Medicine,8061330499
304,PROV0339,General Practice,3077792605
305,PROV0241,General Practice,4255390833
306,PROV0457,General Practice,5442453961
307,PROV0254,Orthopedics,3220884473
308,PROV0350,Internal Medicine,8427956348
309,PROV0112,Internal Medicine,2795618327
310,PROV0076,Internal Medicine,5346374033
311,PROV0408,General Practice,5336485445
312,PROV0496,Surgery,1142974291
313,PROV0196,Pediatrics,4943115254
314,PROV0416,Cardiology,6729313475
315,PROV0245,Radiology,4090008787
316,PROV0001,Internal Medicine,1451877366
317,PROV0281,General Practice,1951677317
318,PROV0142,Neurology,3884664778
319,PROV0122,Internal Medicine,8785376834
320,PROV0193,Surgery,2854613682
321,PROV0453,Pediatrics,2802764429
322,PROV0435,Neurology,1421670059
323,PROV0409,Internal Medicine,9742963631
324,PROV0110,Internal Medicine,6479787558
325,PROV0159,General Practice,2613884948
326,PROV0449,General Practice,8564978227
327,PROV0006,Internal Medicine,8353662614
328,PROV0113,Dermatology,2146082656
329,PROV0249,Dermatology,8126700392
330,PROV0458,Surgery,5295110608
331,PROV0427,Orthopedics,1170698637
332,PROV0232,Dermatology,4281829830
333,PROV0007,Orthopedics,1138147429
334,PROV0352,Pediatrics,8373900541
335,PROV0189,Internal Medicine,6207631094
336,PROV0137,Internal Medicine,2994249349
337,PROV0459,General Practice,8849153314
338,PROV0225,Internal Medicine,4363095147
339,PROV0263,Internal Medicine,3540191405
340,PROV0089,Pediatrics,5982948212
341,PROV0278,General Practice,7824644012
342,PROV0151,General Practice,3534186483
343,PROV0032,Internal Medicine,4593532182
344,PROV0115,General Practice,6986579857
345,PROV0404,General Practice,8918766590
346,PROV0494,Internal Medicine,6394242777
347,PROV0066,General Practice,2878881440
348,PROV0172,Neurology,5735557727
349,PROV0434,Neurology,5068230024
350,PROV0156,Dermatology,1892257255
351,PROV0153,Surgery,8896165331
352,PROV0257,Oncology,9679125475
353,PROV0357,Oncology,8718348509
354,PROV0085,Pediatrics,1315217319
355,PROV0065,Surgery,5173479717
356,PROV0467,Neurology,4662487135
357,PROV0185,Orthopedics,3760770088
358,PROV0418,Oncology,8362634636
359,PROV0234,Internal Medicine,9468862344
360,PROV0348,Neurology,8208501978
361,PROV0051,Neurology,3800239433
362,PROV0039,General Practice,2738499760
363,PROV0489,Internal Medicine,7236384959
364,PROV0490,Pediatrics,8226198432
365,PROV0198,Pediatrics,3963554092
366,PROV0115,General Practice,2359040955
367,PROV0458,Internal Medicine,1177698458
368,PROV0497,Orthopedics,3612649720
369,PROV0077,General Practice,3987010293
370,PROV0179,Dermatology,8401693920
371,PROV0195,Orthopedics,9307774777
372,PROV0160,Pediatrics,6342049861
373,PROV0102,Internal Medicine,7245054123
374,PROV0455,Oncology,4527691391
375,PROV0041,Oncology,9631465547
376,PROV0115,Internal Medicine,8912160194
377,PROV0226,Cardiology,5749185745
378,PROV0265,Neurology,3574929147
379,PROV0395,Surgery,5526748018
380,PROV0444,General Practice,8488785931
381,PROV0159,Radiology,7440572953
382,PROV0493,Internal Medicine,8472510689
383,PROV0161,Internal Medicine,5286068739
384,PROV0487,General Practice,4042530743
385,PROV0251,Dermatology,6580383887
386,PROV0092,Orthopedics,2270412264
387,PROV0493,Internal Medicine,7455573986
388,PROV0115,Pediatrics,8854706609
389,PROV0070,Oncology,2097666922
390,PROV0252,Orthopedics,9670890648
391,PROV0009,Orthopedics,8384223558
392,PROV0394,Pediatrics,7758850705
393,PROV0336,Dermatology,8595737287
394,PROV0448,Radiology,1061019255
395,PROV0361,Surgery,1250697173
396,PROV0020,Pediatrics,2418584475
397,PROV0020,General Practice,5445013567
398,PROV0371,Internal Medicine,8111339554
399,PROV0394,General Practice,8313557731
400,PROV0414,Internal Medicine,2750953793
401,PROV0362,General Practice,1584561141
402,PROV0178,Radiology,9043633082
403,PROV0372,General Practice,9813265239
404,PROV0493,General Practice,4884811451
405,PROV0225,General Practice,8044115324
406,PROV0416,Cardiology,7911922422
407,PROV0383,Internal Medicine,4517664502
408,PROV0002,General Practice,3583430312
409,PROV0293,Pediatrics,4427848625
410,PROV0417,Internal Medicine,9804317689
411,PROV0084,Internal Medicine,7052144603
412,PROV0320,Cardiology,4077989428
413,PROV0185,Radiology,4673485810
414,PROV0278,Radiology,7308845048
415,PROV0310,Cardiology,1494337983
416,PROV0242,Radiology,3916124789
417,PROV0092,Radiology,9142953597
418,PROV0224,Surgery,4153858691
419,PROV0234,Oncology,9166120974
420,PROV0051,Radiology,3181662793
421,PROV0427,Oncology,8209852061
422,PROV0435,Internal Medicine,1114472080
423,PROV0412,Neurology,6173447894
424,PROV0493,Surgery,2423054571
425,PROV0017,General Practice,9138669228
426,PROV0486,Radiology,7973017784
427,PROV0160,Oncology,4987264812
428,PROV0316,Neurology,9554614991
429,PROV0276,Cardiology,7088390286
430,PROV0422,Radiology,7409216747
431,PROV0099,Internal Medicine,6858747026
432,PROV0315,General Practice,7912478248
433,PROV0217,Internal Medicine,3798829323
434,PROV0395,Oncology,6711706005
435,PROV0348,Pediatrics,6197032919
436,PROV0113,General Practice,4373497939
437,PROV0272,General Practice,2169437708
438,PROV0384,Cardiology,1345641072
439,PROV0374,Internal Medicine,2081406758
440,PROV0156,Surgery,1102911835
441,PROV0090,General Practice,4851931712
442,PROV0431,General Practice,9808305716
443,PROV0346,Surgery,6722648593
444,PROV0180,Radiology,8468692207
445,PROV0073,General Practice,7554336916
446,PROV0217,General Practice,4500824207
447,PROV0010,Surgery,4667865035
448,PROV0304,Internal Medicine,1341564401
449,PROV0152,Internal Medicine,7620191732
450,PROV0099,Pediatrics,5453735702
451,PROV0214,Surgery,5505231885
452,PROV0001,Cardiology,8519860890
453,PROV0392,Surgery,1982678320
454,PROV0452,General Practice,2578859198
455,PROV0482,Oncology,6221141632
456,PROV0020,Pediatrics,4767727901
457,PROV0397,Internal Medicine,1828374437
458,PROV0027,Orthopedics,1441803279
459,PROV0206,General Practice,8375356622
460,PROV0361,Pediatrics,1213401280
461,PROV0068,Internal Medicine,5845794972
462,PROV0179,Oncology,5914205665
463,PROV0486,Radiology,5572012893
464,PROV0433,Internal Medicine,3095293152
465,PROV0013,Dermatology,3602156331
466,PROV0442,General Practice,9930620446
467,PROV0464,Internal Medicine,8349886659
468,PROV0397,Orthopedics,9296686866
469,PROV0359,General Practice,4591598998
470,PROV0050,Oncology,3484996322
471,PROV0360,General Practice,3742922848
472,PROV0201,Neurology,1396872483
473,PROV0117,Orthopedics,4116747753
474,PROV0360,Internal Medicine,4014744375
475,PROV0047,Radiology,8913486739
476,PROV0105,Neurology,9492383823
477,PROV0169,Internal Medicine,9358410237
478,PROV0080,Orthopedics,2242911911
479,PROV0196,General Practice,2450064336
480,PROV0445,Cardiology,7378740443
481,PROV0097,Cardiology,9633932537
482,PROV0124,Neurology,7815743083
483,PROV0013,Pediatrics,8806788171
484,PROV0054,General Practice,5508723173
485,PROV0495,Radiology,7884097897
486,PROV0029,Neurology,1134911279
487,PROV0086,Neurology,3195264932
488,PROV0359,Oncology,3959006288
489,PROV0279,Orthopedics,5619066280
490,PROV0325,General Practice,1896903718
491,PROV0482,General Practice,1213883709
492,PROV0344,Neurology,7466658008
493,PROV0368,Internal Medicine,9140685306
494,PROV0334,Internal Medicine,1152735533
495,PROV0181,Internal Medicine,8801233800
496,PROV0138,General Practice,9418157935
497,PROV0066,Neurology,1872838576
498,PROV0238,Neurology,1710814559
499,PROV0241,Orthopedics,7920533133
500,PROV0051,Surgery,2063279162
501,PROV0309,Neurology,1938182058
502,PROV0123,Cardiology,1561565919
503,PROV0119,Cardiology,9197169828
504,PROV0425,General Practice,7548567325
505,PROV0399,Neurology,1917281473
506,PROV0378,Internal Medicine,5696079343
507,PROV0062,Internal Medicine,7105654288
508,PROV0053,Cardiology,7548597461
509,PROV0416,Internal Medicine,2950167000
510,PROV0382,Oncology,5429909194
511,PROV0218,Radiology,5455314735
512,PROV0378,Pediatrics,6941424509
513,PROV0098,Internal Medicine,5980356960
514,PROV0474,Dermatology,2044602073
515,PROV0128,General Practice,4183644774
516,PROV0315,Radiology,5600930909
517,PROV0138,General Practice,4121151943
518,PROV0242,Surgery,8020020284
519,PROV0455,Pediatrics,1878363274
520,PROV0112,Pediatrics,9084330740
521,PROV0468,Cardiology,8370935756
522,PROV0418,Internal Medicine,4991331507
523,PROV0060,Dermatology,4963264832
524,PROV0291,General Practice,4271110496
525,PROV0119,General Practice,6531641855
526,PROV0239,Orthopedics,2717200596
527,PROV0399,Orthopedics,4179233816
528,PROV0323,Cardiology,8461599123
529,PROV0375,Pediatrics,9676219647
530,PROV0465,Neurology,9360177763
531,PROV0386,Dermatology,3902044789
532,PROV0418,Internal Medicine,5113194234
533,PROV0212,Internal Medicine,3838719503
534,PROV0248,Orthopedics,9708914391
535,PROV0244,General Practice,3096834012
536,PROV0105,General Practice,4915092342
537,PROV0481,Internal Medicine,4185143568
538,PROV0027,Cardiology,7149988885
539,PROV0269,Internal Medicine,3268048374
540,PROV0314,Internal Medicine,9376214511
541,PROV0255,Internal Medicine,4047517043
542,PROV0265,Neurology,5151259366
543,PROV0227,Internal Medicine,9897492726
544,PROV0364,Cardiology,9616825153
545,PROV0075,Surgery,2441677044
546,PROV0126,Pediatrics,4618271930
547,PROV0290,Internal Medicine,7017062940
548,PROV0435,Surgery,2124191063
549,PROV0490,Internal Medicine,8338311235
550,PROV0295,General Practice,3142809003
551,PROV0240,Internal Medicine,7066905047
552,PROV0088,Oncology,3044262215
553,PROV0057,General Practice,8790607975
554,PROV0496,Neurology,9390526843
555,PROV0443,General Practice,9446355089
556,PROV0312,General Practice,3345449684
557,PROV0022,General Practice,8732213836
558,PROV0220,Cardiology,3182614831
559,PROV0187,General Practice,2871267404
560,PROV0228,Internal Medicine,3560327360
561,PROV0228,General Practice,8563833911
562,PROV0371,General Practice,1011047044
563,PROV0344,Pediatrics,3497919852
564,PROV0026,Internal Medicine,2040810851
565,PROV0195,Dermatology,2702026559
566,PROV0173,Internal Medicine,2402674866
567,PROV0441,Neurology,8031258934
568,PROV0038,Cardiology,3252470560
569,PROV0404,Oncology,7631016317
570,PROV0181,Internal Medicine,2534114373
571,PROV0322,Orthopedics,2942952896
572,PROV0397,Surgery,6996470181
573,PROV0346,Orthopedics,4957516457
574,PROV0085,Internal Medicine,9107899000
575,PROV0385,Neurology,8436883900
576,PROV0323,Cardiology,2429740588
577,PROV0332,General Practice,9270870398
578,PROV0434,Dermatology,4140205941
579,PROV0114,Neurology,4842001560
580,PROV0238,General Practice,9351540537
581,PROV0211,General Practice,6395474697
582,PROV0480,Oncology,3536844846
583,PROV0047,Radiology,2111165802
584,PROV0277,Cardiology,4330523524
585,PROV0406,General Practice,6871517004
586,PROV0041,Orthopedics,9253637686
587,PROV0368,Internal Medicine,8035568888
588,PROV0480,Pediatrics,8113561040
589,PROV0142,General Practice,2774704766
590,PROV0372,Cardiology,3960328027
591,PROV0411,General Practice,3758070586
592,PROV0162,Internal Medicine,1081203047
593,PROV0458,Oncology,4238984230
594,PROV0034,General Practice,6221922640
595,PROV0214,General Practice,8091779042
596,PROV0341,General Practice,7027467821
597,PROV0219,Internal Medicine,9721709400
598,PROV0485,Oncology,4256484786
599,PROV0302,General Practice,9500765413
600,PROV0251,Internal Medicine,4833875120
601,PROV0169,Cardiology,8086267147
602,PROV0272,Pediatrics,2395014865
603,PROV0022,Oncology,2642948257
604,PROV0380,Radiology,4845238159
605,PROV0359,Internal Medicine,2367644060
606,PROV0358,Internal Medicine,3853130170
607,PROV0181,General Practice,2637717526
608,PROV0096,General Practice,7870765678
609,PROV0003,Radiology,8962120014
610,PROV0336,Orthopedics,9771300967
611,PROV0162,Cardiology,2385039524
612,PROV0034,General Practice,6881234634
613,PROV0439,Radiology,2987435237
614,PROV0308,General Practice,8230845441
615,PROV0383,General Practice,7271721929
616,PROV0465,Internal Medicine,5780985720
617,PROV0200,Dermatology,5720022440
618,PROV0144,Orthopedics,1290296520
619,PROV0465,Surgery,4229399160
620,PROV0234,Orthopedics,8619283546
621,PROV0008,Pediatrics,4380235888
622,PROV0215,Oncology,4490879084
623,PROV0007,Internal Medicine,7513093388
624,PROV0483,General Practice,6809736828
625,PROV0192,Pediatrics,9533722688
626,PROV0211,Neurology,8003008201
627,PROV0281,Neurology,1014212778
628,PROV0342,Neurology,7358889761
629,PROV0412,Cardiology,3226066930
630,PROV0119,Pediatrics,4012202199
631,PROV0491,Cardiology,3627759958
632,PROV0161,Cardiology,7892177149
633,PROV0031,Neurology,4980649866
634,PROV0354,Neurology,2660300137
635,PROV0464,Internal Medicine,6027351946
636,PROV0037,Radiology,2879348079
637,PROV0388,Cardiology,6673904150
638,PROV0412,General Practice,4552751060
639,PROV0490,Internal Medicine,3056394217
640,PROV0181,Oncology,3804471341
641,PROV0058,Pediatrics,5691856879
642,PROV0125,Internal Medicine,3260351369
643,PROV0029,Surgery,2700830506
644,PROV0131,Pediatrics,6370583672
645,PROV0078,Surgery,2830242820
646,PROV0196,General Practice,8296577803
647,PROV0156,General Practice,3424644837
648,PROV0162,Radiology,4199016554
649,PROV0121,Internal Medicine,4037212867
650,PROV0427,Internal Medicine,2616153559
651,PROV0369,General Practice,7416862754
652,PROV0330,Orthopedics,7336992211
653,PROV0181,Neurology,8085166166
654,PROV0340,Dermatology,1281440507
655,PROV0487,Pediatrics,9540986790
656,PROV0400,General Practice,7701786481
657,PROV0467,Orthopedics,2061055322
658,PROV0160,Orthopedics,3915914657
659,PROV0305,Cardiology,5226934998
660,PROV0222,Orthopedics,5325651402
661,PROV0437,Cardiology,2777563705
662,PROV0049,Internal Medicine,6582718663
663,PROV0150,Internal Medicine,6045024793
664,PROV0157,Dermatology,1125595366
665,PROV0338,Orthopedics,8839916161
666,PROV0497,Orthopedics,5266777171
667,PROV0011,General Practice,8325450119
668,PROV0163,General Practice,3518454194
669,PROV0203,Orthopedics,2670506062
670,PROV0465,Internal Medicine,2550876942
671,PROV0472,Surgery,5059395901
672,PROV0125,Orthopedics,7882517587
673,PROV0318,Oncology,5544972141
674,PROV0447,Oncology,1773573359
675,PROV0169,Surgery,2040228192
676,PROV0050,Internal Medicine,7312694682
677,PROV0007,General Practice,9636625342
678,PROV0390,Oncology,7292350580
679,PROV0028,Pediatrics,2974180587
680,PROV0152,Neurology,4433474528
681,PROV0374,Internal Medicine,3323418391
682,PROV0115,Internal Medicine,3661428319
683,PROV0414,Oncology,7362557631
684,PROV0042,Pediatrics,2430653418
685,PROV0038,Internal Medicine,2206080074
686,PROV0201,General Practice,1734194539
687,PROV0005,General Practice,5185829790
688,PROV0319,Surgery,3796769922
689,PROV0068,Neurology,3406342664
690,PROV0155,General Practice,8493696888
691,PROV0382,Internal Medicine,4560239916
692,PROV0062,Internal Medicine,7407753566
693,PROV0225,General Practice,1963764556
694,PROV0427,General Practice,1488060395
695,PROV0097,General Practice,5575867980
696,PROV0498,General Practice,4451897490
697,PROV0232,Orthopedics,1866315318
698,PROV0266,General Practice,6505156694
699,PROV0371,Surgery,7512335719
700,PROV0315,Internal Medicine,1838597425
701,PROV0315,General Practice,9842941774
702,PROV0095,General Practice,7406286976
703,PROV0201,General Practice,8281305690
704,PROV0029,Radiology,7535980214
705,PROV0301,General Practice,3202681715
706,PROV0472,Radiology,8076726928
707,PROV0452,Internal Medicine,1883849607
708,PROV0165,General Practice,4334023982
709,PROV0419,Cardiology,3220794391
710,PROV0422,Dermatology,5623075538
711,PROV0060,General Practice,8970418041
712,PROV0281,Cardiology,2359782745
713,PROV0189,General Practice,6183364473
714,PROV0345,Surgery,3708653406
715,PROV0025,Radiology,9230125665
716,PROV0270,Orthopedics,9903495210
717,PROV0395,General Practice,6619505933
718,PROV0259,Pediatrics,7695390087
719,PROV0023,Orthopedics,1631056565
720,PROV0002,Dermatology,5622252005
721,PROV0027,Radiology,7136317555
722,PROV0363,Cardiology,8244926923
723,PROV0463,Surgery,7209949319
724,PROV0443,Internal Medicine,3101442176
725,PROV0333,Oncology,9857498760
726,PROV0476,Cardiology,2158873691
727,PROV0474,Cardiology,2717716920
728,PROV0120,Internal Medicine,4235404967
729,PROV0410,Internal Medicine,1108895837
