provider_sk,provider_id,speciality,npi
110,3981756317.0,Vascular Surgery,3981756317.0
111,5724990673.0,Physical Medicine & Rehabilitation,5724990673.0
112,3892686817.0,Dermatology,3892686817.0
113,4150114278.0,Pediatrics,4150114278.0
114,1685583357.0,Primary Care,1497238601.0
115,3230405664.0,Radiology,-1.0
116,8000914789.0,ENT,8000914789.0
117,8515127096.0,Emergency Medicine,9834878575.0
118,9561946187.0,Urology,9561946187.0
119,2852193802.0,Allergy & Immunology,2852193802.0
120,9212959154.0,OB/GYN,3654275027.0
121,5471700951.0,Vascular Surgery,5471700951.0
122,6095658763.0,Podiatry,6095658763.0
123,-1.0,Pediatrics,6021941858.0
124,6903558431.0,Vascular Surgery,3853210750.0
125,1790558940.0,Radiology,9379761263.0
126,-1.0,Plastic Surgery,1337851281.0
127,2231995081.0,Pathology,2231995081.0
128,2062182961.0,Cardiology,2062182961.0
129,-1.0,OB/GYN,7121713134.0
130,8831899893.0,Neurology,8831899893.0
131,4563518278.0,Internal Medicine,4275456104.0
132,6947922164.0,Endocrinology,-1.0
133,4384950377.0,Vascular Surgery,4384950377.0
134,4635848624.0,Allergy & Immunology,4635848624.0
135,-1.0,Allergy & Immunology,3848598007.0
136,-1.0,Psychiatry,3003852508.0
137,3446737272.0,Family Medicine,-1.0
138,9819373637.0,OB/GYN,9819373637.0
139,1645277642.0,Radiology,1645277642.0
140,2976391858.0,Physical Medicine & Rehabilitation,3134608582.0
141,-1.0,Orthopedics,6867160566.0
142,3360484174.0,Plastic Surgery,6109479616.0
143,1386931319.0,Oncology,3943810870.0
144,2554762903.0,Psychiatry,2554762903.0
145,5894791950.0,Pulmonology,5894791950.0
146,8383635018.0,Pediatrics,5381943473.0
147,-1.0,Family Medicine,7926652524.0
148,2201840395.0,Physical Medicine & Rehabilitation,2201840395.0
149,9806189256.0,Dermatology,9806189256.0
150,3232712137.0,Vascular Surgery,3232712137.0
151,3252816770.0,Infectious Disease,-1.0
152,5318888998.0,Radiology,5318888998.0
153,5415100359.0,Pediatrics,5415100359.0
154,-1.0,Internal Medicine,7076189796.0
155,3088458262.0,Anesthesiology,3088458262.0
156,3038247464.0,Ophthalmology,7143876769.0
157,1798950117.0,Dermatology,1798950117.0
158,1599707677.0,Dermatology,1599707677.0
159,4598759233.0,Endocrinology,4598759233.0
160,2266498312.0,Rheumatology,9481789608.0
161,7439149233.0,Pathology,-1.0
162,5865058976.0,Infectious Disease,2284043808.0
163,9631473880.0,Podiatry,9631473880.0
164,3099500153.0,Ophthalmology,3099500153.0
165,5437090032.0,Pulmonology,5437090032.0
166,2139027119.0,Nephrology,2139027119.0
167,1753459205.0,Ophthalmology,3510620453.0
168,7597284680.0,Cardiology,7597284680.0
169,5007273049.0,Nephrology,-1.0
170,1879233902.0,Allergy & Immunology,1879233902.0
171,4509456565.0,OB/GYN,4509456565.0
172,2573108158.0,Emergency Medicine,2899223947.0
173,2524540068.0,Family Medicine,2524540068.0
174,2966655877.0,Oncology,2966655877.0
175,1862407093.0,Orthopedics,-1.0
176,9648665968.0,Nephrology,9648665968.0
177,9021427795.0,Pulmonology,5413654923.0
178,7871018960.0,Rheumatology,-1.0
179,4177901142.0,Vascular Surgery,4177901142.0
180,3204996671.0,Rheumatology,6588497489.0
181,2298034142.0,Dermatology,2298034142.0
182,3733461689.0,Pathology,3733461689.0
183,1528033292.0,Ophthalmology,1528033292.0
184,7003585379.0,Anesthesiology,7003585379.0
185,-1.0,Physical Medicine & Rehabilitation,7363409651.0
186,1321569274.0,Physical Medicine & Rehabilitation,1321569274.0
187,8236980551.0,Oncology,-1.0
188,3954646054.0,Endocrinology,7053024236.0
189,2720829540.0,Cardiology,2720829540.0
190,1409675904.0,Rheumatology,1409675904.0
191,-1.0,Emergency Medicine,-1.0
192,8473592668.0,Pulmonology,8473592668.0
193,2370205303.0,Orthopedics,2370205303.0
194,2178816289.0,Dermatology,9335909501.0
195,9136155213.0,Podiatry,9136155213.0
196,8606317217.0,Radiology,1289192796.0
197,9103931356.0,ENT,9103931356.0
198,7648364190.0,Cardiology,5035923352.0
199,-1.0,Physical Medicine & Rehabilitation,6880115912.0
200,5200090187.0,Primary Care,1520005232.0
201,1304592812.0,Psychiatry,-1.0
202,6929478937.0,Pulmonology,6929478937.0
203,5575615203.0,General Surgery,5575615203.0
204,7494878720.0,ENT,7494878720.0
205,4906403575.0,General Surgery,8144682348.0
206,3799620568.0,Podiatry,3799620568.0
207,6017731924.0,Pulmonology,6017731924.0
208,6322188162.0,Nephrology,5177241264.0
209,4958067417.0,Orthopedics,5604936309.0
210,4776677517.0,Radiology,4776677517.0
211,4427802090.0,Vascular Surgery,4427802090.0
212,1943200696.0,Ophthalmology,1943200696.0
213,1150959137.0,Primary Care,8268327467.0
214,5866916208.0,Infectious Disease,5866916208.0
215,6139001591.0,Ophthalmology,4308480918.0
216,-1.0,Pediatrics,9443651533.0
217,7672455519.0,General Surgery,9934963240.0
218,1077618551.0,Podiatry,1077618551.0
219,9920537307.0,Vascular Surgery,-1.0
220,1883925729.0,Cardiology,1883925729.0
221,5180830447.0,Vascular Surgery,2223569887.0
222,7830844594.0,General Surgery,7830844594.0
223,-1.0,Anesthesiology,3862189654.0
224,2283298067.0,Pathology,2283298067.0
225,8859233487.0,Psychiatry,2374050406.0
226,2988592958.0,Podiatry,2988592958.0
227,-1.0,Plastic Surgery,3007269420.0
228,9465353235.0,Nephrology,9465353235.0
229,4023497467.0,Physical Medicine & Rehabilitation,1526241774.0
230,1283850417.0,Infectious Disease,1283850417.0
231,9844874547.0,General Surgery,9844874547.0
232,6691628146.0,Pediatrics,6691628146.0
233,8696984147.0,Endocrinology,7424164142.0
234,1657008304.0,Podiatry,1657008304.0
235,1601385551.0,Physical Medicine & Rehabilitation,-1.0
236,7334044046.0,Rheumatology,7334044046.0
237,1638367047.0,Plastic Surgery,1638367047.0
238,3170137829.0,Infectious Disease,3170137829.0
239,-1.0,ENT,9656191456.0
240,9731584225.0,Podiatry,9731584225.0
241,3417300559.0,Nephrology,6120000725.0
242,9230163877.0,Dermatology,9230163877.0
243,2926780541.0,Nephrology,-1.0
244,2504988056.0,General Surgery,9884267716.0
245,4162014755.0,Urology,4162014755.0
246,5891831621.0,Plastic Surgery,3461382210.0
247,2658861672.0,General Surgery,2658861672.0
248,8252006746.0,Pathology,8252006746.0
249,7807681712.0,Podiatry,7807681712.0
250,8789808241.0,Primary Care,8789808241.0
251,8063165090.0,Nephrology,8063165090.0
252,1245522987.0,OB/GYN,7078720988.0
253,9694228701.0,Ophthalmology,6805768240.0
254,4098250761.0,Psychiatry,4098250761.0
255,3845805571.0,Orthopedics,3845805571.0
256,6622660439.0,Infectious Disease,-1.0
257,5751180577.0,Oncology,5751180577.0
258,-1.0,Neurology,7515993285.0
259,6757815878.0,OB/GYN,6757815878.0
260,4543025495.0,Cardiology,4543025495.0
261,6145549138.0,Allergy & Immunology,2503852542.0
262,9549250209.0,General Surgery,2475652519.0
263,1782968126.0,Radiology,5909867234.0
264,2821460610.0,Psychiatry,2821460610.0
265,3131098613.0,Podiatry,3131098613.0
266,-1.0,Podiatry,6949650094.0
267,5065299908.0,Allergy & Immunology,5065299908.0
268,1692624346.0,Allergy & Immunology,7804952374.0
269,9521072699.0,Physical Medicine & Rehabilitation,-1.0
270,5919148165.0,ENT,-1.0
271,-1.0,Pathology,6307460038.0
272,-1.0,Vascular Surgery,9106697363.0
273,-1.0,Gastroenterology,-1.0
274,8849138139.0,Pathology,8849138139.0
275,8901585274.0,Gastroenterology,8901585274.0
276,5811161965.0,Ophthalmology,6216128818.0
277,2553084324.0,Radiology,2553084324.0
278,8821456242.0,Psychiatry,8821456242.0
279,9869132245.0,Radiology,9869132245.0
280,2646140692.0,ENT,2646140692.0
281,3959715514.0,Nephrology,3959715514.0
282,7249213370.0,Psychiatry,7249213370.0
283,5604643030.0,Podiatry,5604643030.0
284,7851045975.0,Pathology,8270895831.0
285,4319477391.0,Family Medicine,4319477391.0
286,4501414238.0,Oncology,4501414238.0
287,8984358195.0,Neurology,7658972713.0
288,6263212814.0,OB/GYN,6263212814.0
289,4259973452.0,Pulmonology,4259973452.0
290,9631176906.0,Ophthalmology,9631176906.0
291,4869039451.0,Pediatrics,4869039451.0
292,3244750381.0,Cardiology,9665070494.0
293,3099675984.0,Endocrinology,3099675984.0
294,4511008639.0,General Surgery,1991759136.0
295,1784914375.0,Physical Medicine & Rehabilitation,1784914375.0
296,8423301365.0,Radiology,8423301365.0
297,4707372201.0,Oncology,-1.0
298,1032545020.0,General Surgery,1032545020.0
299,8565466251.0,Oncology,1228239836.0
300,5051536755.0,Infectious Disease,5051536755.0
301,7839860685.0,Pediatrics,7839860685.0
302,3206955437.0,Infectious Disease,3206955437.0
303,1471184735.0,Dermatology,1471184735.0
304,4872405446.0,Psychiatry,3001027805.0
305,5972484792.0,Emergency Medicine,5972484792.0
306,1826972878.0,Dermatology,1826972878.0
307,5370396525.0,Urology,5370396525.0
308,9785815724.0,Endocrinology,2108992583.0
309,9454213661.0,Oncology,9454213661.0
310,-1.0,Pediatrics,7724293662.0
311,6335601740.0,Neurology,6335601740.0
312,2728513631.0,Pediatrics,2728513631.0
313,4242821832.0,Pulmonology,4242821832.0
314,5849598465.0,Physical Medicine & Rehabilitation,5849598465.0
315,1257324536.0,Physical Medicine & Rehabilitation,2860782335.0
316,7707384358.0,Allergy & Immunology,1691264375.0
317,7565100636.0,Anesthesiology,7565100636.0
318,4944481840.0,Vascular Surgery,9961079502.0
319,2618787635.0,Urology,6420546356.0
320,5053796127.0,Primary Care,-1.0
321,8319287827.0,Physical Medicine & Rehabilitation,8440706744.0
322,6682202906.0,Pediatrics,5321958928.0
323,4945296870.0,Plastic Surgery,4945296870.0
324,2904614281.0,Family Medicine,-1.0
325,2085051459.0,Vascular Surgery,2085051459.0
326,8625995551.0,Neurology,3178638879.0
327,8857247603.0,Orthopedics,8857247603.0
328,8881826467.0,Endocrinology,-1.0
329,2452804067.0,Vascular Surgery,5897129919.0
330,3718745786.0,Neurology,3718745786.0
331,1099218439.0,Vascular Surgery,1099218439.0
332,8427386231.0,General Surgery,8427386231.0
333,-1.0,Neurology,-1.0
334,6039758047.0,Rheumatology,6039758047.0
335,2114501460.0,Rheumatology,2114501460.0
336,6999053983.0,Orthopedics,4487547737.0
337,1313595787.0,Physical Medicine & Rehabilitation,1313595787.0
338,7986328381.0,Cardiology,5530060438.0
339,4635011695.0,Radiology,4635011695.0
340,8662738568.0,Neurology,8662738568.0
341,4981214501.0,Internal Medicine,4981214501.0
342,2925967942.0,Neurology,2925967942.0
343,-1.0,Nephrology,1405889064.0
344,4586437898.0,Infectious Disease,8716670692.0
345,-1.0,Urology,7422832448.0
346,7366396017.0,Vascular Surgery,7366396017.0
347,8865390946.0,Rheumatology,8865390946.0
348,8796020741.0,Nephrology,8796020741.0
349,7055551080.0,Plastic Surgery,4622063378.0
350,7096636148.0,Plastic Surgery,2921568169.0
351,2646485998.0,Orthopedics,4355813211.0
352,9145410257.0,Pediatrics,9145410257.0
353,2184901787.0,Psychiatry,2184901787.0
354,7150116885.0,Oncology,7150116885.0
355,4201567900.0,Orthopedics,-1.0
356,1323890137.0,Allergy & Immunology,1323890137.0
357,6726336234.0,Rheumatology,-1.0
358,8446926412.0,Radiology,8446926412.0
359,1250629827.0,Endocrinology,8936520194.0
360,7780484666.0,Endocrinology,9891048671.0
361,3816872014.0,Vascular Surgery,3816872014.0
362,-1.0,OB/GYN,6139619911.0
363,7054754528.0,Neurology,8343095396.0
364,9369987994.0,Internal Medicine,9369987994.0
365,1140379416.0,Orthopedics,1140379416.0
366,2140747529.0,General Surgery,2140747529.0
367,-1.0,Gastroenterology,1844158611.0
368,9234426752.0,Neurology,9234426752.0
369,5901981439.0,Psychiatry,5901981439.0
370,8993998614.0,Family Medicine,8993998614.0
371,-1.0,Pathology,6333405410.0
372,-1.0,Cardiology,7808690753.0
373,8527472128.0,Rheumatology,8527472128.0
374,-1.0,OB/GYN,3564595211.0
375,6581198987.0,Allergy & Immunology,6581198987.0
376,5053998404.0,Pediatrics,5053998404.0
377,4767634417.0,Neurology,4767634417.0
378,4086168237.0,Physical Medicine & Rehabilitation,-1.0
379,6167393219.0,Podiatry,6167393219.0
380,7010521940.0,Allergy & Immunology,7010521940.0
381,1166345781.0,Family Medicine,1166345781.0
382,-1.0,Rheumatology,9886622951.0
383,9552538757.0,Gastroenterology,9552538757.0
384,1993974205.0,Psychiatry,2274073924.0
385,-1.0,Infectious Disease,-1.0
386,3611012505.0,Plastic Surgery,3611012505.0
387,2411483319.0,Radiology,2411483319.0
388,9128109021.0,Family Medicine,9128109021.0
389,5067111801.0,Rheumatology,5067111801.0
390,5015690897.0,Internal Medicine,5015690897.0
391,3921514427.0,Physical Medicine & Rehabilitation,3921514427.0
392,9025327451.0,Cardiology,8310675212.0
393,-1.0,Primary Care,5684378987.0
394,7024341290.0,Neurology,7024341290.0
395,5426374038.0,Endocrinology,5426374038.0
396,2564328817.0,General Surgery,2564328817.0
397,8223542272.0,Ophthalmology,8223542272.0
398,-1.0,Ophthalmology,9783702388.0
399,4947836984.0,Internal Medicine,4947836984.0
400,3303082117.0,Gastroenterology,3303082117.0
401,4260706483.0,Psychiatry,4260706483.0
402,7254736171.0,ENT,7254736171.0
403,3756262403.0,Oncology,7643602709.0
404,7439517615.0,Primary Care,7649443929.0
405,2892064066.0,Vascular Surgery,2892064066.0
406,6619138852.0,Gastroenterology,6619138852.0
407,9462935432.0,Ophthalmology,3421030938.0
408,2728683349.0,Plastic Surgery,2728683349.0
409,8355075124.0,OB/GYN,8355075124.0
410,4747699292.0,Allergy & Immunology,4747699292.0
411,3598146019.0,ENT,3598146019.0
412,2654917886.0,Rheumatology,2654917886.0
413,4311300347.0,Family Medicine,8601208849.0
414,2357369016.0,Emergency Medicine,4807006019.0
415,6495162409.0,Podiatry,6495162409.0
416,8013666930.0,Pediatrics,8013666930.0
417,5268845844.0,Internal Medicine,5268845844.0
418,-1.0,Family Medicine,7746298485.0
419,6122198471.0,Pulmonology,6518541920.0
420,6391704367.0,Neurology,-1.0
421,6994007154.0,Vascular Surgery,6994007154.0
422,9237326112.0,Pulmonology,9237326112.0
423,5308815905.0,Pathology,5308815905.0
424,2706439544.0,Pathology,-1.0
425,2147476965.0,Anesthesiology,2147476965.0
426,5526760627.0,Endocrinology,1440402171.0
427,8367286784.0,Nephrology,8367286784.0
428,6797436140.0,Internal Medicine,6797436140.0
429,-1.0,Endocrinology,5675106698.0
430,4102477341.0,Nephrology,4102477341.0
431,5768436968.0,Orthopedics,5768436968.0
432,7476052850.0,General Surgery,9345574065.0
433,-1.0,Internal Medicine,8690920484.0
434,2756666624.0,Emergency Medicine,8052993260.0
435,6128926096.0,Rheumatology,6128926096.0
436,8601858421.0,Vascular Surgery,8601858421.0
437,3013362475.0,Primary Care,3013362475.0
438,8537002793.0,Dermatology,8537002793.0
439,4470591645.0,Podiatry,2752533466.0
440,3294293463.0,Pulmonology,5284395512.0
441,3303090267.0,Pediatrics,3303090267.0
442,5597262809.0,Family Medicine,5597262809.0
443,3307329307.0,Family Medicine,3307329307.0
444,6763471833.0,Radiology,6763471833.0
445,4124168227.0,Vascular Surgery,2610138327.0
446,6337650091.0,Vascular Surgery,6337650091.0
447,4914909509.0,Cardiology,4914909509.0
448,2763544042.0,Anesthesiology,2763544042.0
449,7529817193.0,Orthopedics,7529817193.0
450,3730256149.0,Dermatology,3730256149.0
451,9944748312.0,Podiatry,6516594649.0
452,8191768990.0,Pediatrics,7920665045.0
453,4752728579.0,Neurology,4752728579.0
454,-1.0,Orthopedics,-1.0
455,6281827528.0,Infectious Disease,6281827528.0
456,2349409434.0,Physical Medicine & Rehabilitation,2349409434.0
457,9873472374.0,Oncology,9873472374.0
458,6930579497.0,Infectious Disease,8008851808.0
459,-1.0,Physical Medicine & Rehabilitation,5975196341.0
460,1422701550.0,Pathology,1422701550.0
461,1333067525.0,Oncology,1605663959.0
462,4958754554.0,Orthopedics,4958754554.0
463,2020395327.0,Psychiatry,2020395327.0
464,8931413717.0,General Surgery,-1.0
465,7822840521.0,Radiology,6294461020.0
466,9677962911.0,Neurology,-1.0
467,1701578854.0,Infectious Disease,1701578854.0
468,2289789131.0,Oncology,-1.0
469,-1.0,Psychiatry,4221536426.0
470,-1.0,Primary Care,2232986477.0
471,2872026192.0,Plastic Surgery,2872026192.0
472,9426850694.0,Pathology,9426850694.0
473,6399171124.0,Rheumatology,6399171124.0
474,-1.0,Plastic Surgery,5934758784.0
475,2345247256.0,Cardiology,2345247256.0
476,7863568529.0,Internal Medicine,4722223970.0
477,7718693233.0,Neurology,7718693233.0
478,3432625682.0,Ophthalmology,8630250147.0
479,6956694235.0,Internal Medicine,-1.0
480,4127585116.0,Internal Medicine,7521252193.0
481,8412733036.0,Vascular Surgery,-1.0
482,3342331444.0,Rheumatology,8383042320.0
483,5864961001.0,Radiology,5864961001.0
484,6953059839.0,Podiatry,5945122241.0
485,7495883972.0,Gastroenterology,-1.0
486,9599885296.0,Pathology,9599885296.0
487,1852290085.0,Radiology,7219695432.0
488,7080049102.0,Gastroenterology,5380262891.0
489,8792122716.0,Ophthalmology,3644590514.0
490,9063480483.0,Radiology,9063480483.0
491,4008714405.0,Primary Care,4008714405.0
492,9697040266.0,Podiatry,-1.0
493,-1.0,Primary Care,6996747687.0
494,7464712556.0,Internal Medicine,7464712556.0
495,-1.0,Family Medicine,3965860354.0
496,1784595168.0,Emergency Medicine,5545584748.0
497,8757585120.0,Rheumatology,8757585120.0
498,3013831172.0,Cardiology,3013831172.0
499,8168453360.0,Pulmonology,8168453360.0
500,6602298084.0,Emergency Medicine,6602298084.0
501,2143625802.0,Endocrinology,9293152886.0
502,8108614089.0,Infectious Disease,8108614089.0
503,8396845668.0,Gastroenterology,8396845668.0
504,-1.0,Urology,2005178800.0
505,8406374110.0,General Surgery,8406374110.0
506,3200510647.0,Dermatology,3200510647.0
507,3472828483.0,Pediatrics,3472828483.0
508,5169675781.0,Internal Medicine,9354269398.0
509,7271954644.0,Radiology,8719553904.0
510,4308800114.0,Vascular Surgery,4308800114.0
511,9776107836.0,Family Medicine,7275916843.0
512,3345164087.0,Primary Care,3345164087.0
513,5565068460.0,Neurology,5565068460.0
514,6079363850.0,Rheumatology,6079363850.0
515,-1.0,Dermatology,7177751894.0
516,2324918663.0,Radiology,2324918663.0
517,2668250303.0,Urology,9267401856.0
518,2854871996.0,Endocrinology,1090870317.0
519,6510828410.0,Orthopedics,1218640053.0
520,9619516877.0,Pulmonology,9619516877.0
521,5144099828.0,Pathology,1584873767.0
522,2694917952.0,Vascular Surgery,1470600932.0
523,2610237679.0,Internal Medicine,2610237679.0
524,6368890859.0,Rheumatology,6368890859.0
525,3694168784.0,Pathology,8321776821.0
526,1364714170.0,General Surgery,1364714170.0
527,3338296830.0,Emergency Medicine,3338296830.0
528,4652885723.0,Orthopedics,4592174796.0
529,3323646093.0,OB/GYN,3323646093.0
530,7026877131.0,Podiatry,7208042902.0
531,9043210080.0,Anesthesiology,9043210080.0
532,4298673916.0,ENT,8275113316.0
533,4908108692.0,Infectious Disease,5335943130.0
534,1949456961.0,Infectious Disease,1949456961.0
535,-1.0,Gastroenterology,8610883908.0
536,6927479280.0,Endocrinology,5450448343.0
537,6299302677.0,Plastic Surgery,6299302677.0
538,8623414405.0,Dermatology,-1.0
539,-1.0,Psychiatry,7460728316.0
540,4724110138.0,Family Medicine,4724110138.0
541,3186980398.0,Gastroenterology,3186980398.0
542,4943895991.0,Ophthalmology,8015380149.0
543,1896324383.0,Anesthesiology,1896324383.0
544,3046572593.0,Plastic Surgery,3046572593.0
545,2364919386.0,Cardiology,4746712505.0
546,5315864754.0,Physical Medicine & Rehabilitation,5315864754.0
547,7808480880.0,Primary Care,7808480880.0
548,4029778660.0,Plastic Surgery,4029778660.0
549,3986611145.0,Podiatry,3986611145.0
550,2693601838.0,ENT,7306709043.0
551,7305953323.0,Emergency Medicine,7305953323.0
552,6570239455.0,Pediatrics,3886667035.0
553,6667987217.0,Pediatrics,6667987217.0
554,3154036452.0,Radiology,3154036452.0
555,8281511215.0,Primary Care,8281511215.0
556,6592227466.0,Emergency Medicine,6592227466.0
557,3233866964.0,ENT,3233866964.0
558,7084060349.0,Podiatry,7716124296.0
559,8833588689.0,Ophthalmology,-1.0
560,6169457994.0,Physical Medicine & Rehabilitation,6169457994.0
561,7009225839.0,ENT,-1.0
562,4861796075.0,Oncology,4861796075.0
563,5086613517.0,Pulmonology,5086613517.0
564,4042625360.0,Ophthalmology,7520026539.0
565,5395013320.0,Primary Care,5395013320.0
566,6014805529.0,Primary Care,7013365992.0
567,4792135573.0,Infectious Disease,4792135573.0
568,6006218347.0,Dermatology,6006218347.0
569,6165304376.0,ENT,6165304376.0
570,6642201119.0,Neurology,8873999355.0
571,3715248432.0,Vascular Surgery,3715248432.0
572,9346312079.0,Endocrinology,9346312079.0
573,7496691038.0,Psychiatry,7496691038.0
574,6275816824.0,General Surgery,6275816824.0
575,7628087488.0,Emergency Medicine,7628087488.0
576,7222097130.0,Primary Care,3971433472.0
577,-1.0,Pediatrics,6038208776.0
578,4572357978.0,Rheumatology,2819142505.0
579,8588928121.0,Orthopedics,1236329792.0
580,4179272522.0,Primary Care,1940453067.0
581,4886958219.0,Urology,9301361162.0
582,2795615023.0,Physical Medicine & Rehabilitation,2795615023.0
583,-1.0,Anesthesiology,2344275311.0
584,9270780160.0,Psychiatry,-1.0
585,4544683724.0,Neurology,4544683724.0
586,5506341057.0,Psychiatry,5506341057.0
587,8605695669.0,Nephrology,-1.0
588,5759163820.0,Endocrinology,5759163820.0
589,9351077012.0,Pediatrics,9351077012.0
590,-1.0,Cardiology,7468039211.0
591,6891490448.0,Nephrology,6891490448.0
592,-1.0,Vascular Surgery,-1.0
593,4983661172.0,Anesthesiology,1408387304.0
594,2073994016.0,Rheumatology,5374916597.0
595,-1.0,Podiatry,6122352653.0
596,1435954833.0,Plastic Surgery,-1.0
597,-1.0,Family Medicine,-1.0
598,9697354961.0,Family Medicine,9697354961.0
599,8249315123.0,Pulmonology,8249315123.0
600,3302333490.0,Anesthesiology,3302333490.0
601,6313758032.0,Family Medicine,1260694617.0
602,5019957915.0,Oncology,5019957915.0
603,9726908278.0,Endocrinology,9726908278.0
604,7859904332.0,Physical Medicine & Rehabilitation,9700023021.0
605,6323740456.0,Cardiology,4977102406.0
606,-1.0,Infectious Disease,2849649210.0
607,9357475916.0,Oncology,9357475916.0
608,4731989676.0,Psychiatry,5854397596.0
609,7258105807.0,ENT,7258105807.0
610,6472086746.0,Endocrinology,4228712244.0
611,4635738455.0,Psychiatry,4635738455.0
